"CONVERTED TYPES OF ENERGY";"060000 Extraction of oil and gas";522;586;354;315;351;330;340;378;356;361;559;685;1144;1489;1908;3476;3069;2597;3519;3163;3545;5301;3971;3011;2961;3011;3109;1653;2859;230;3110;221;67;4204;931;944;63;2853;1289;184;107;17339;10095;15170;13086;4727;4925;5936;5927;21479;29769;62608;16843;14879;13564;19169;..
"CONVERTED TYPES OF ENERGY";"080090 Extraction of gravel and stone";844421;947465;575816;516017;576091;542165;560679;622072;584629;602720;539286;706731;849213;812670;621639;669052;677478;793852;770619;715326;753012;768579;766880;733968;795523;751856;776962;703092;656401;646808;575878;509380;489857;500014;550299;559902;577295;550369;525024;450142;480858;477375;439296;413931;388170;397536;476794;464006;451418;460670;411673;412778;397852;370795;390822;434508;..
"CONVERTED TYPES OF ENERGY";"090000 Mining support service activities";26415;27396;25812;28596;34057;32650;34590;33749;33534;16085;21144;25476;26237;26171;32558;34888;36454;40177;40154;43634;40868;41707;36570;34438;38249;42888;46914;47974;52006;52323;58398;55497;44963;43384;42661;42181;43396;53736;47137;46564;50496;58503;70175;65694;61952;56216;55984;51777;47433;41978;35835;61523;83805;60899;47765;51611;..
"CONVERTED TYPES OF ENERGY";"C Manufacturing";69744335;77778576;49984234;46509014;51821998;48737026;50023759;54081437;51779755;49212523;52740189;56619963;65739683;63195583;59597583;66748591;62276006;64879038;67114021;63558208;64683514;66967740;67967687;66234312;67863876;66472366;68482927;66156731;69607395;69201874;75019393;72186413;67933790;67884327;67967285;67658481;68451083;72098666;66944074;65774138;71868448;66465164;63913989;58060068;54648850;50812357;47825674;50199812;50073685;46328879;48174431;48660549;47269617;41844674;41790584;45927454;44814592
"CONVERTED TYPES OF ENERGY";"CA Manufacture of food products, beverages and tobacco";15621510;17390920;11347699;10652212;11935826;11263809;11620945;12524827;11737603;11599754;11671163;13150530;15703123;15547006;14388787;16988383;15306241;16506091;16263789;15363735;15191052;15780785;15604090;15941288;16052888;15906442;16005240;15968475;16076079;15528334;16657624;16244234;15258618;14899695;15454536;15584418;16095962;16030761;15014438;16232892;17444854;15594758;16264559;15181012;14482776;13814122;12618234;13383858;13556159;12674684;12456358;12694159;12436299;11186711;11565580;12820507;12533796
"CONVERTED TYPES OF ENERGY";"10120 Manufacture of food products, beverages and tobacco";15621510;17390920;11347699;10652212;11935826;11263809;11620945;12524827;11737603;11599754;11671163;13150530;15703123;15547006;14388787;16988383;15306241;16506091;16263789;15363735;15191052;15780785;15604090;15941288;16052888;15906442;16005240;15968475;16076079;15528334;16657624;16244234;15258618;14899695;15454536;15584418;16095962;16030761;15014438;16232892;17444854;15594758;16264559;15181012;14482776;13814122;12618234;13383858;13556159;12674684;12456358;12694159;12436299;11186711;11565580;12820507;..
"CONVERTED TYPES OF ENERGY";"100010 Production of meat and meat products";3932967;4372772;2860304;2687316;3031503;2838088;2929652;3129437;2977601;2956101;2957179;3329669;4042627;4022526;3239626;3854686;3498579;3879178;3793662;3576541;3551178;3501301;3725248;3824182;3918738;3455575;3521707;3757366;3833742;3892111;3990176;3729807;3598626;3748028;3668640;3655326;3798430;3725668;3502958;3463794;3621042;3229663;3296587;3009112;2978285;2754956;2524060;2872489;3080745;2922275;2745841;2746704;2639807;2368445;2408879;2667017;..
"CONVERTED TYPES OF ENERGY";"100020 Processing and preserving of fish";1135505;1272771;778942;701343;784461;736967;761239;839560;794297;761432;854065;1058686;1208016;1052622;953268;1153735;1083805;1172486;1251170;1185474;1102670;1233610;1372800;1352430;1296482;1405654;1468542;1344876;1426357;1506256;1262562;1295380;1094008;1162944;1111135;1090459;1133571;1086926;1016054;984772;1234720;1326990;1048329;981288;913470;844774;769042;881500;955372;863739;853450;807617;732114;666791;687985;761337;..
"CONVERTED TYPES OF ENERGY";"100030 Manufacture of dairy products";2706719;3031885;1874904;1698381;1900676;1787538;1848818;2032118;1924570;1851119;1980052;2265364;2632173;2867167;2904590;3569885;3291058;3683907;3300697;2972697;2963026;3025178;3115648;3127897;3284813;3119655;3212092;3082273;3229514;2995005;3180210;3063919;2951027;2391872;2292028;2342504;2433218;2738690;2580349;2623269;2185579;1482216;1597446;1619955;1503800;1723626;1572401;2350997;3087239;2814924;2986794;3191291;3266294;2953722;3027352;3366001;..
"CONVERTED TYPES OF ENERGY";"100040 Manufacture of grain mill and bakery products";2866830;3157778;2285931;2280259;2521358;2407676;2479843;2636997;2368692;2435006;2419575;2267890;2734133;2800186;2665530;2849154;2468655;2526321;2665498;2686877;2671352;2819402;2157715;2232034;2215400;2250926;2279154;2324124;2345340;2177809;2372605;2261085;2119945;2213434;2286833;2340301;2325592;2550308;2381267;2454243;2825301;2698495;2241090;2161758;2014821;1791190;1531481;1518866;1432552;1299898;1586695;1603893;1558359;1397492;1521214;1686457;..
