"TOTAL";"Industries and households";781043603;796964553;748112102;806937981;899286367;867164404;896012980;901846089;849799150;825146865;902972691;931829022;990685889;1016201235;919281128;926070228;871701603;835643464;847563623;881219675;911890909;924025494;916043772;889727617;910123494;977279559;940020408;982004217;967757973;991197650;1059738295;1030833230;1063987861;1047628685;1064886682;1067621637;1082954658;1164412635;1160098040;1255766718;1419968615;1422938600;1389257811;1304462664;1295494625;1287703022;1234707188;1182672470;1138878101;1177961440;1208605503;1236335813;1273172240;1240212204;1107726758;1201901094;1146383968
"TOTAL";"Households";329518755;319758949;296507061;326728643;374524648;347515589;367571505;366612531;341911647;341997108;370146540;372800961;399199184;413166110;359978457;346545939;336148778;328819933;328371442;354975877;352280297;363948338;345494478;323518696;320994415;344827619;333767816;346575144;346149191;351682717;385231233;355254894;348968816;340990629;329469026;338493301;337343015;350427089;338072897;334899571;348956166;342740962;346030085;344461450;359692114;331398746;325059155;328585821;308098658;312899498;321584105;318501756;314861363;294552216;282871535;297345068;282159234
"TOTAL";"Total industries";451524848;477205605;451605040;480209338;524761718;519648814;528441474;535233558;507887504;483149757;532826151;559028061;591486706;603035125;559302671;579524289;535552824;506823532;519192181;526243797;559610612;560077155;570549294;566208921;589129080;632451940;606252593;635429073;621608782;639514933;674507063;675578335;715019045;706638055;735417657;729128336;745611643;813985547;822025143;920867147;1071012449;1080197638;1043227726;960001213;935802511;956304277;909648033;854086649;830779444;865061942;887021398;917834058;958310877;945659988;824855223;904556025;864224734
"TOTAL";"A Agriculture, forestry and fishing";43211211;47526061;40122639;42116180;40296801;42088272;44981324;49561189;38977635;43311852;44484219;46135924;49843133;52213482;48862193;51492679;45423151;47003945;49532206;50189518;52832263;51288946;51633755;52795393;53972876;55252901;55333004;52389060;51762415;50326482;54769931;53007917;51588809;50783546;50412610;48882367;47711834;47386384;44791491;44517351;47105820;45372899;45144262;45060247;44723301;43444238;40212042;40307510;39009657;38948592;39035616;37841304;37130515;35957631;35294686;36506850;36982774
"TOTAL";"01000 Agriculture and horticulture";38932768;42474085;35244317;36766034;36184242;37138726;39438796;42529780;34396093;34405081;35179687;37138260;42023726;44125650;41013118;44258561;38080828;39404926;40557292;40300547;41907887;42087631;41339675;41700935;42315163;43414942;43123564;42373626;41968113;41026267;44615529;42914261;41305201;40383482;39924931;38894219;37832421;37805599;36340973;35935386;38499957;37287546;37687332;37717332;37352706;36394049;34153291;33738843;32728814;32330687;32358563;31536398;30994636;29841353;29365615;30063676;..
"TOTAL";"010000 Agriculture and horticulture";38932768;42474085;35244317;36766034;36184242;37138726;39438796;42529780;34396093;34405081;35179687;37138260;42023726;44125650;41013118;44258561;38080828;39404926;40557292;40300547;41907887;42087631;41339675;41700935;42315163;43414942;43123564;42373626;41968113;41026267;44615529;42914261;41305201;40383482;39924931;38894219;37832421;37805599;36340973;35935386;38499957;37287546;37687332;37717332;37352706;36394049;34153291;33738843;32728814;32330687;32358563;31536398;30994636;29841353;29365615;30063676;..
"TOTAL";"02000 Forestry";180278;191693;156183;149429;141898;148458;142988;150526;128083;122434;166516;181464;216980;195534;192793;234845;232555;284730;271531;277211;264994;286607;271786;277740;335108;301544;354813;332173;381123;428106;531524;500884;498915;545878;551019;551889;527704;580285;620493;666935;676007;675483;651888;731919;868648;885106;958104;886037;937714;969360;975629;939730;1006506;943632;912254;938774;..
"TOTAL";"020000 Forestry";180278;191693;156183;149429;141898;148458;142988;150526;128083;122434;166516;181464;216980;195534;192793;234845;232555;284730;271531;277211;264994;286607;271786;277740;335108;301544;354813;332173;381123;428106;531524;500884;498915;545878;551019;551889;527704;580285;620493;666935;676007;675483;651888;731919;868648;885106;958104;886037;937714;969360;975629;939730;1006506;943632;912254;938774;..
"TOTAL";"03000 Fishing";4098165;4860283;4722138;5200717;3970661;4801088;5399540;6880883;4453459;8784337;9138016;8816200;7602427;7892299;7656282;6999273;7109768;7314289;8703383;9611760;10659381;8914707;10022294;10816719;11322605;11536416;11854627;9683260;9413180;8872109;9622878;9592772;9784693;9854187;9936660;9436259;9351708;9000500;7830026;7915030;7929855;7409870;6805042;6610997;6501947;6165083;5100647;5682629;5343129;5648544;5701424;5365176;5129373;5172645;5016817;5504399;..
"TOTAL";"030000 Fishing";4098165;4860283;4722138;5200717;3970661;4801088;5399540;6880883;4453459;8784337;9138016;8816200;7602427;7892299;7656282;6999273;7109768;7314289;8703383;9611760;10659381;8914707;10022294;10816719;11322605;11536416;11854627;9683260;9413180;8872109;9622878;9592772;9784693;9854187;9936660;9436259;9351708;9000500;7830026;7915030;7929855;7409870;6805042;6610997;6501947;6165083;5100647;5682629;5343129;5648544;5701424;5365176;5129373;5172645;5016817;5504399;..
"TOTAL";"B Mining and quarrying";4428331;4575347;4746423;5293011;6164780;5602321;6879447;7213799;6827722;6831918;6972141;11149460;11021708;11187168;6934599;8385583;9027884;8576565;11454088;14112728;16353293;16698379;18465012;18697623;17790456;22645857;24275415;23314101;23945286;22867834;25148304;32861141;32280346;43068323;39758820;39258884;40444893;40564678;42283815;40579816;39949446;37847881;37194428;33164500;34356280;31358679;30921891;30152520;29112109;31951715;28952208;29982399;27357666;25502204;18180677;20846171;24024548
"TOTAL";"06090 Mining and quarrying";4428331;4575347;4746423;5293011;6164780;5602321;6879447;7213799;6827722;6831918;6972141;11149460;11021708;11187168;6934599;8385583;9027884;8576565;11454088;14112728;16353293;16698379;18465012;18697623;17790456;22645857;24275415;23314101;23945286;22867834;25148304;32861141;32280346;43068323;39758820;39258884;40444893;40564678;42283815;40579816;39949446;37847881;37194428;33164500;34356280;31358679;30921891;30152520;29112109;31951715;28952208;29982399;27357666;25502204;18180677;20846171;..
"TOTAL";"060000 Extraction of oil and gas";741;802;559;510;532;523;808747;1259349;989977;2511808;2857256;6707710;6129042;6255239;2863078;4910101;5497266;4727693;7327970;9669024;11696140;12134462;14036553;14462874;13633254;18049356;19749800;18707243;19708169;18549698;21587182;29211742;28818210;38723376;35057184;33755990;35299140;35690094;37375124;35555972;35454774;33981997;33103959;29684240;30743144;27902907;27801372;27211071;26396031;27675838;25732629;26410257;24417241;22538432;15103051;16784508;..
"TOTAL";"080090 Extraction of gravel and stone";4397315;4543188;4715944;5259704;6126079;5563482;6030122;5914677;5798375;4297815;4086776;4408907;4857029;4897325;4030337;3433010;3486454;3800111;4076435;4390299;4605039;4508902;4376984;4183599;4100531;4532453;4456286;4534856;4150721;4231181;3466197;3558243;3376032;4249775;4606819;5402852;5036529;4753102;4798857;4908981;4375264;3742988;3947918;3349584;3500260;3323958;2960260;2801475;2611459;4173493;3120374;3450961;2789641;2826717;2960459;3943418;..
"TOTAL";"090000 Mining support service activities";30275;31357;29919;32796;38168;38316;40578;39773;39370;22295;28108;32844;35637;34603;41184;42472;44165;48761;49683;53406;52115;55015;51476;51149;56671;64048;69330;72002;86396;86955;94924;91157;86104;95173;94817;100041;109224;121482;109834;114863;119408;122896;142551;130676;112876;131814;160259;139975;104619;102384;99205;121180;150784;137055;117167;118245;..
"TOTAL";"C Manufacturing";158761144;168121971;154378942;167981564;195664151;179977236;191343249;189575828;183655631;160819180;170871857;176872471;187570860;187948546;174280079;166890780;154425129;151783220;160793439;158369336;164380098;162477288;161213536;159453982;159948810;163943227;166376768;165234134;170059271;174201041;180946969;172182824;164254767;165026150;160713448;162869000;157053264;162607780;157899877;153147831;163023867;156883539;151389402;133840704;132347522;129772989;122475017;120368692;120613010;117559988;120879580;124358272;124515095;117145003;114948031;123188724;118122001
"TOTAL";"CA Manufacture of food products, beverages and tobacco";40510707;42285370;40251785;44802118;53494169;50345888;53723458;51326253;49618732;37922199;37910991;43015076;47274369;46125783;46231443;45415820;41283700;41728198;42571455;41466333;42712634;41693163;40171361;41323140;41741386;42768896;41397298;43047646;43713353;43603308;41403728;41186408;39173698;38181901;37540702;38729127;37925365;36043230;35239272;36810185;39217300;35411558;37322500;33411359;34613422;32536478;29615722;29598353;29986795;28524759;30225479;30628660;29448720;27938217;28163418;29736185;28298093
"TOTAL";"10120 Manufacture of food products, beverages and tobacco";40510707;42285370;40251785;44802118;53494169;50345888;53723458;51326253;49618732;37922199;37910991;43015076;47274369;46125783;46231443;45415820;41283700;41728198;42571455;41466333;42712634;41693163;40171361;41323140;41741386;42768896;41397298;43047646;43713353;43603308;41403728;41186408;39173698;38181901;37540702;38729127;37925365;36043230;35239272;36810185;39217300;35411558;37322500;33411359;34613422;32536478;29615722;29598353;29986795;28524759;30225479;30628660;29448720;27938217;28163418;29736185;..
"TOTAL";"100010 Production of meat and meat products";7153622;7578719;6627472;7185270;8573934;8067585;8601345;8313301;8056575;6455027;6514743;7676519;8545624;8867445;7614566;7617924;6939910;7462243;6987352;7099601;7255124;6850567;7005996;6879938;7330133;7092548;7442046;7624435;7588774;7608436;7456771;7122437;6938704;7341172;6740488;6755464;6708480;6469650;6202830;5790245;5892364;4918261;5322152;5122769;5302112;5090726;4792012;5278220;5697697;5462213;5302068;5315307;5088245;4705618;4666750;5394277;..
"TOTAL";"100020 Processing and preserving of fish";3757676;3834288;3838024;4459481;5606315;5256289;5614820;5134910;5019148;3619510;4027563;5428036;5140261;4793312;4777621;4381914;4036988;4115302;4100727;3715903;3535823;3545823;3731281;3536156;3225995;3643092;3759157;3575691;4069982;4635425;3421733;3807363;3342028;3434454;3365354;3311947;3196789;2442460;2382823;2243819;2859467;2987339;3045971;2994283;3233148;2671113;1989039;2361449;2818573;2679073;2728631;2809539;2794368;2571009;2398797;2340578;..
